classifier_name,dataset_name,accuracy
GOW,BME,0.8933
GOW,BeetleFly,0.65
GOW,BirdChicken,0.85
GOW,Chinatown,0.9679
GOW,Coffee,0.9286
GOW,DistalPhalanxOutlineCorrect,0.7143
GOW,DistalPhalanxTW,0.7111
GOW,ECG200,0.87
GOW,FaceFour,0.8
GOW,Fungi,0.9355
GOW,GunPoint,0.9933
GOW,Herring,0.7
GOW,ItalyPowerDemand,0.9456
GOW,MoteStrain,0.8906
GOW,OliveOil,0.9
GOW,Plane,1
GOW,SmoothSubspace,0.9933
GOW,SonyAIBORobotSurface1,0.8785
GOW,SonyAIBORobotSurface2,0.744
GOW,ToeSegmentation2,0.7778
GOW,BasicMotions,1
GOW,Colposcopy,0.3366
GOW,DistalPhalanxOutlineAgeGroup,0.75
GOW,ERing,0.9148
GOW,EyesOpenShut,0.5476
GOW,FingerMovements,0.56
GOW,Epilepsy,0.8261
GOW,JapaneseVowels,0.9676
GOW,Libras,0.8333
GOW,NATOPS,0.7722
GOW,PowerCons,0.8833
GOW,RacketSports,0.8355
GOW,UMD,0.8889
GOW,Wine,0.537
GOW,SyntheticControl,0.88
GOW,ProximalPhalanxTW,0.79
GOW,TwoLeadECG,0.8841
GOW,MSR Sports Action 3D,0.6195
GOW,MSR Daily Activity 3D,0.45
GOW,Weizmann,0.925
GOW,SpokenArabicDigit,0.8455
